Sentiment,Text
negative,"  Absolutely terrible experience. The app would not let me check in online and repeatedly asked for COVID documents, but then did not accept them even when provided. I was trying to fly back to the USA, where I am a citizen and the app caused repeated errors. I went to British Airways Customer Service to check in and was told that my seat was already given away to another passenger, even though I was there in plenty of time. This was also during an industrial action at Heathrow, meaning the number of flights were limited. I was delayed over 24 hours in returning to the USA, all because of their terrible app and then bad customer service that gives away seats even when the paid passenger is already there at the airport."
negative, BA overbook every flight to maximise their income with no regard for the customer. It means you cannot check in online or at the kiosk in the airport and have to queue even with no luggage. Makes easyJet and Ryanair look like customer champions. The server in Itsu in the BA terminal says she stopped flying BA years ago due to the service being bad all the time. Most customers she serves have a complaint Staff don't care as poor service and unhappy customers is a routine occurrence.
negative,"  
The flights were all on time, except Belfast from London which never is. The Staff were efficient. My issue is the App, I could not book seats to Tel Aviv though tried for a month as wanted to pay. So ended up in a middle seat even though a window seat was available on the flight. The seat was in front of the dividing barrier and was used as thoroughfare by the service team throughout the flight so I wasted my money on PE seat! You can get hold of BA customer service via the app either and they have just ignored all other communication so just won't use them again."
positive," Only the second time flying BA as first time wasn’t positive. Could have made my connection in Heathrow if BA had been proactive. Instead, overnight at the Renaissance hotel compliments of BA. Adequate, but one wonders why a large part of this hotel is devoted to sleeping and feeding of hundreds of stranded passengers. If BA had offered one employee to help us get to our gate instead of waiting for the shuttle bus which was a half hour late arriving, we could have made our flight and saved BA the cost of rebooking, hotel, shuttle, food accommodations. Another bad show. Business class fare should offer more."
positive," I wasn't going to bother reviewing this flight as I seem to be on a perpetual downer with BA but the airport experience convinced me otherwise. After having our flight class reduced from First to Business, then offered an alternative route on the outward leg in First to make up for the disappointment, they then reneged on this. As it was a special anniversary it sucked. Flying back we checked in online to our chosen window seats, at the gate we had to show our passports as we passport before boarding as we were hand luggage only. Trying to board we had our passports checked twice more and were issued new boarding cards for centre seats. Unbelievable! The flight itself was very quiet and only half the normal crew for this aircraft was unavailable. This meant no pre-departure drinks and a limited selection of food. The crew was great but what an earth is going on at BA, they have this unique knack to snatch defeat from the jaws of victory every time. I say this as the new club suites are great."
negative,"  I booked business class tickets for my fiancé and I. I had to reschedule my flight due to an unforeseen timing change, so I called to get have my flight refunded. The representative on the phone informed me he wasn't sure how much I would get, as the refund department needed to check, but estimated I would lose 10-20% of my booking to fees. I accepted. I never got a cancellation email, or any update, but instead received $35 total back. Less than 1% of my booking costs. Since then I have spent over 5 hours calling different departments before they blocked me. I've lost a tremendous amount of money with nothing to show."
negative,"  I will never travel with British Airways again. I spent over $10,000 on a business class seat to attend a funeral in the UK. First, the Boeing 787-9 cabin has 7 seats across the aisle so what you are getting in reality is premium economy. The seats are narrow and effectively are a business class seat cut in half. They have squeezed these seats in which means that some passengers bump their heads into the bulkhead when they stand up and many have to clamber over others to go to the toilet, which wakes up that passenger. The whole point about business class is that you pay to rest and have privacy and not have someone push over the top of you. Second, the food was disgusting. Third, the service terrible. Fourth, the toilet was tiny. Fifth, the inflight screen was fixed and too high so I could not see anything. Sixth, their baggage handling is also appalling meaning that my taxi was waiting for 2 hours and I had to pay more (no free airport transfers with British Airways). Seventh, the charging points did not work. The second leg to London was on a larger plane with 4 seats across the aisle. That was bearable because no hopping over people but the seat was very uncomfortable because it was not one piece. This means that you are sleeping on a metal bar (the seat) where there is a gap in the seat. To add insult to injury I now find that both flights back to Sydney are on the small plane. To book a seat before check in is $170. I paid it but note that there were only 4 seats left. This is why I got the worst seat in the house going out. This is the most appalling airline service I have ever encountered. There is no point paying for business class in British Airways. "
negative,"  I am already in Portugal so contacted them today and they cancelled my return flight because I was 10 minutes late calling them, even though I tried for 2 hours to get through the day before. Now I am unable to get back and they have kept the 500 pounds. Customer service is shocking, they have no intention of helping you."
negative,  Terrible. Avoid this airline. It’s now becoming regular practice to cancel flights. Had a cancellation from Switzerland that forced us to spend the whole night in a cheap hotel and had to fly out the next day and then had another cancellation to Spain. The airline only knows how to ask for expensive prices.
negative,"  Despite being a gold member, the British Airways staff in Heathrow literally could not care in the slightest about the absolute turmoil and logistical damage or wider impact of their terrible service. All the staff members repeat the same mantra - “we are not obliged to provide even an update for the first 24 hours” as if that would make the situation better. There are no proactive updates, no empathy, no care but a lot of actual lies being told. You can tell that they have given up any care or thought for the passengers as actual individuals - they show this in every action and word they say. All of them are better suited to working away from other humans."
negative," Regarding the aircraft and seat: The business class seats on this flight were pretty good. All were of the suite type, where every seat has its own booth with sliding door for extra privacy. The downside to this is that if you are travelling as a couple, its quite difficult to interact. There is ample storage and USB charging ports. The seat is pretty comfortable. As someone who finds it very difficult to sleep on flights, this was one of the only times I've been able to get a few minutes sleep here and there. The amenities provided are pretty average when compared to other airlines. The leather toiletry bag was quite nice though. No slippers, only a pair of socks. The restrooms on the flight are very small, and don't provide much in the way of toiletries compared to other airlines. No free Wi-Fi in Business Class is not acceptable. Another example of BA's penny pinching in recent years. Regarding the staff and customer service: Poor. Inattentive. Beyond meal times there was offer of water during the flight. I had to go and find an attendant and ask. There was also no offer of any snacks. Rude at times. My partner asked for a fork to be replaced as the one provided was quite clearly dirty. The attendant was incredibly rude in response. This left us shocked. Different customers seem to receive a different quality of service. A customer behind me was repeatedly greeted politely by name and asked how they were, whether they needed anything etc. whereas my partner and I were not afforded the same level of personal service. This is disappointing as we paid the same price for the tickets so expect the same level of service. The food was pretty bad. I had risotto while my partner had chicken. Both were extremely over cooked and the rice looked like porridge. The vegetables were discoloured and flavourless. The bread was nice though. The breakfast wasn't much better. Summary: BA has become the Ryanair of long haul. The customer service is way below what I would expect for a premium airline in a premium seat. You pay a premium price for a very average service. If there are other options available I would choose them over BA these days."
negative," I travelled with British Airways from Sweden to Los Angeles via London in December 2022. When I arrived at LAX one of my bags were missing. There was no information of the whereabouts of my bag and after searching for someone for about 30 minutes, I found the point of contact and she told me my bag was left behind. I gave her my details of where I would be staying and she told me that they would contact me. After a few days and still no contact I tried to call British Airways customer service. The woman at the airport didn’t give me a file reference number, so it was quite difficult to try and locate my bag, but they finally found the reference number and my bag and said it would be delivered in a couple of days. I told them that I had switched hotels and gave them the address for where I was staying and everything was fine. But then a couple of weeks went by and my bag was still nowhere to be seen and it was time for me to fly home. At the airport I tried to talk with the personnel there to try and locate my bag and they said that it was delivered to the first hotel I stayed at, even though I had given them an updated address. I asked them what I should to since I was flying home now. The guy at the counter told me that it wasn’t his problem and that I should figure it out myself. I questioned him about his response and he just walked away. A manager saw that and came up to me and apologized for his colleague and that they would send someone to fetch my bag and send it with either my flight or the next one. I came home and a couple of days later I received my bag. I made a complaint and claims on British Airways website since I had to buy clothes and toiletries during my vacation because I didn’t have my bag. In January they said that they would refund me for my claims, it is now April (almost May) and I have still not received the refund even after multiple email conversations. I don’t know what to do anymore about this situation since it appears that no one is willing to help me. I am appalled about how the situation is being handled and frankly disappointed at British Airways and the lack of customer service."
negative,"  Food was lousy. Who ever is planning the Asian Hindu Vegetarian meal is clueless as to what this meal includes. The snack was also lousy. It took us 2 hours just to go from T5 to T3 and clear security check. The place was chaotic. We get to our boarding gate and again a long line with 40 minutes wait for someone to check passport and boarding pass. Seats in Premium economy was ok, but when the passenger in front reclines, there is very little space for the window seat passenger to cross over. Overall not a good airline."
negative," Had the worst experience. The flight from London to Toronto got delayed and we missed the connecting flight to Halifax. We were four including an infant and a toddler aged 4 years, despite being delayed and missed the connecting flight the ground staff were not at all helpful. We waited for an hour to get them to talk to us and at 12 am they told us they have not booked any hotel for us to stay that night and asked to go search for a hotel on your own, very nice of you British Airways. At least you guys should have given some consideration to the travelers who travel with children and booked some accommodation. We will NOT to travel on this airline again."
negative,  The ground staff were not helpful. Felt like all they wanted to do was rush us to check in and then all passengers needed up waiting in a holding area for a bus anyway. Travelling with a child with a disability was a nightmare with British Airways. Logged a complaint and it took almost four weeks to answer. Lost some of our luggage. It was not a good experience.
positive,"  Second time BA Premium Economy in a newer aircraft and yet another excellent experience. Despite a three hour delay and missing my connection in Hong Kong, this was a very pleasant flight. Seats are spacious and comfortable in Premium Economy in this layout, attitude of the cabin crew was excellent and food was good. They communicate well and rebooked my connection during the flight which brought peace of mind. A very pleasant experience in BA Premium Economy after a major disappointment in Club World earlier this year."
negative,"  They changed our Flights from Brussels to London Heathrow to LAX on 4/16/2023. We paid extra to choose our seats. Since they cancelled they never honored the seat that we bought, they seated us in totally different seats. I asked the check in employee, she was very rude and told us that we have to understand that was a different flight. From London to LAX was worse, nobody in the airport help us. Employees from BA told us that we have to return next day for our flight we can rent a hotel or go terminal 3 and sleep there. Finally one employee help us and gives a voucher for hotel. It was a nightmare this airline. We missed one day work and BA didn’t return the money that we paid for our previous chosen seats."
positive,"  At Copenhagen the most chaotic ticket counter assignment in the history of airlines. Time on board never changed, no fixed counter at Airport. Abysmal service that needs vast improvement here"
negative,  Worst experience of my life trying to deal with the customer service for British Airways. So many issues with getting from one destination to the other. Had an absolutely horrible time trying to get answers or reach anyone who was capable of helping navigate uncertainties. I wrote them a formal complaint requesting some type of refund and received a generic “we are sorry” email with 5000 avios attached which is equivalent to maybe $50 on a $600+ flight. Needless to say these will go to waste as I refuse to fly with an untrustworthy incompetent unorganized airline that couldn’t even address one single issue expressed to them. It was equivalent to handing me a band aid after slapping me in the face. I will say the flight itself was smooth and the onboard staff was kind and attentive. The most frustrating thing is that the customer service is trained to give you the runaround so heavily to the point of exhaustion that you just give up trying and take the loss.
negative,"  Due to code sharing with Cathay Pacific I was downgraded to BA on my return leg. I can’t describe how cheated I felt. I booked and paid for an airline with great entertainment, food and service, instead, I was forced to go hungry because they only had one choice of meal and it was inedible. To ensure the passengers didn’t get any funny ideas and assume that as the vegetarian option was unavailable they might be given a cracker or a small packet of nuts. The cabin crew announced in their uniquely aggressive and dismissive way “You won’t get anything else for 12 hours you know!” the entertainment is compiled mainly of B movies so I paid £11 for Wi-Fi so I could watch Netflix on my laptop. Unsurprisingly, the signal was so weak I couldn’t even send an email. To add insult to injury, the earbuds provided the cheapest and lowest quality I have ever seen. Since the last time I used this airline the crew are less rude and obnoxious and are now just impatient and unhelpful.  What I don’t understand is why it seems that British Airways look for these characteristics as desirable attributes for their crew. "
positive,"  LHR check in was quick at the First Wing and quickly through security. The First lounge was quiet for a change and a reasonably good breakfast buffet available. While BA have brought back their Highlife magazine in the lounge, it seems they used Covid to scrap all the other magazines they used to offer, as part of the endless BA cost cutting. The toilets in the lounge were as disgusting as ever, not cleaned frequently on this visit and they are about 20 years out of date (the public washrooms in T5 are better and cleaner). Boarding was the usual BA muddled mess, and two of the gate staff appeared to have no clue what they were doing. Endless announcements at the gate about being a full flight, requesting passengers to check in bags, only to get on a flight that was less than 40% full. Onboard a very good welcome from Captain and the flight left the gate only 5 mins late. Breakfast had 3 choices and was a fair standard. No hot towels or even packet towels offered in Club Europe any more, another part of the relentless BA cost cutting. I wouldn't mind but fares are proportionately a lot higher now than pre Covid. Cabin staff service was perfunctory at best, not a scrap of recognition for BA Gold or Oneworld Emerald members, clear proof that BA really don't care any more. Breakfast trays cleared 45 mins into the flight, and that was the sign for staff to stay in the front galley for the rest of the flight. Paid £4.99 for 1 hours wifi, and dropped connection for the next 40 mins. Sad to note that staff service on Ryanair is more pro active nowadays. Priority tagged suitcase came out nearly last at Malaga, this is standard for BA business class baggage handling. Do not waste your money on Club Europe, standards just keep dropping. "
negative,"  I wouldn't recommend British Airways at all. I tried to call to customer service for 3 times in different days and time and I waited for more than 30 minutes on the phone! I ended hanging up. They are excusing themselves in the high volume of calls. I write an email an I am still waiting for 2 weeks!  Website is difficult to navigate. It is not easy really to have an invoice of proof of receipt or look for another service. They sent you online but you don't receive a PDF file. So if you need a proof of flight, you need to do screenshots. And, once the flight is flown, you have no access to that booking again to reprint any document or try to create a PDF. You need to contact with a customer service which I did it online, long waiting time, and had to wait more than a week to receive it. Expensive and poor, almost inexistent customer service and difficult to use their website. An airline that definitely wouldn't recommend. It is such a shame that in 2023 they are still in this position and sleeping when they have competitors around"
negative,"  Absolutely horrible experience. I booked a ticket from Expedia for a British Airways Operated flight from Madrid to Belfast with a changeover at London Heathrow. The whole itinerary was listed as BA although the Madrid to London flight was Iberia. On Jan 22nd, London was experiencing cold and fog. The Iberian flight sat on the tarmac for 2 hours in Madrid because of the London weather. Upon landing in Terminal 3, I had to take a bus to Terminal 5. The flight was the last flight to Belfast for the evening and it had already taken off. The BA desk was swamped with people as many people had to spend the night due to the weather. The British Airways staff said that we could go book any hotel up to 200 pounds and we would be reimbursed. I was barely able to find a room and had to take an expensive cab. However when trying to get the reimbursement, BA said it wasn't their problem and that it was Iberia's problem. Iberia said they do not reimburse due to the weather. When complaining to BA, they said they only market the flight as BA and that they refuse to reimburse. Absolutely disgusting behavior by the airline to not take any responsibility for a flight that they were using their name to sell it to people but don't want to take responsibility for it. Did they expect me to take the bus back to Terminal 3? Their people gave out false information."
negative,"  This is the worst airline. Not one thing went right. I don’t understand how they have got it so bad. Late take off, no gate when we arrived. Bags took over 40 minutes to arrive. Horrendous"
negative,"  I will never fly British Airways again. To start, the plane was over 2 hours late, with no weather and no reason given. The boarding process was chaotic, both in the airport and onto the plane. But more importantly, although we were in business class, it wasn’t really business class. There were a few aisles —not separated in any way—in which they simply put a tray on the middle seat so that no one sits there. And those seats, like the rest, were extremely cramped and uncomfortable. I could not believe they called this business class."
negative,  Worst aircraft I have ever flown. The seats were cramped and uncomfortable considering the flights cost well over &1000each we expected a little space for the money my husbands knees were rubbing on seat in front which for a 10 hour+ flight is not acceptable. My food was disgusting and inedible both the hot food and the breakfast were vile. I would not entertain using BA again. Ground staff were great it’s the seating and food on offer that lets the airline down. We expected so much more.
positive,"  I enjoyed my flight. The boarding was swift and service was very friendly and professional. The food selection was good and I enjoyed the quality. The was only one downside - when we landed there was an issue with ground crew not being ready at T5, so in total from landing to getting the doors open it took 30 minutes. I believe the Heathrow T5 were having strike action that week."
negative," Why do you make it so hard? After a so so lounge experience, the staff taking care of boarding treated us with disdain bordering contempt. It can’t be training, who would do that, it has to be no fear of anything happening. The “new” club world suites are a huge step up from the old product and really on deliver comfort and privacy. The crew were professional but I personally found the food menu rather odd. Essentially, there was one only main that I could handle and was then told they had ran out. I was a few rows in. "
positive,"  After several delays and canceled flights, we finally made it to Copenhagen on American Airlines and British Airways flights. My luggage was destroyed, wheels torn off. I had to buy new luggage in Denmark. I made a claim with British Airways to reimburse me but because I didn’t have the receipt for my old luggage, they would only cover 50% of my new luggage. Advice, have receipts for your old luggage prior to flying so you don’t get ripped off like I did."
negative,"  Literally the worst flight of my life. After booking tickets together with my partner, we were then separated: ‘sorry, the flight is full.’ The flight then took off 45 minutes late - no apology. The trolley service took over two hours and they periodically skipped rows, and the response was flippant and rude: ‘whoops. Not sure how that happened. What do you want?’ Genuinely appalling from beginning to end. Might as well fly Easy Jet - at least they charge a price commensurate with the poor quality of service, not like BA"
positive,"  I swore I would never fly BA again after they messed me about so much when trying to get to Budapest. But the times for their flights suited me so I decided to give them another go. The flight left on time (just about), the cabin was clean and the staff friendly. There was even complimentary tea/coffee and a breakfast bar to be had for economy. The flight was pleasant enough and I can't think of any negatives to write about. The flight and service was certainly head and shoulders above my trip with easyjet."
negative,"  Obviously many airlines have gone downhill in recent years. Prices have increased and services have gone down. The most disappointing thing about BA is that aspects that really don’t need to get worse have. The check in staff at Heathrow are downright rude and abusive, shouting at passengers to line here and there and rolling their eyes if passengers get confused with the constant shouting and bullying. Airlines are now competing globally more and more and this behaviour is particularly noticeable in Asia where the service industry is next level. I wouldn’t want to suggest that all the staff are like this and many younger employees are polite and helpful. However there were a couple of older staff that were downright rude and obnoxious. "
negative," Lost 3 out of 4 checked bags. Denied wheelchair assistance at LHR for my wife and the staff forced us to change terminals by foot. Rude staff on BA297 from LHR to ORD on April 05, 2023: ignored multiple times when simply requested a cup of water. When walked up to them after a couple of attempts to request for water politely, the BA staff onboard yelled at my wife and asked her to be go back to seat. Horrible flight with disappointing staff. Customer service is terrible and online check-in never worked because BA never verified our COVID documents which were uploaded in advance, resulting me and my wife seated separately. I’ve lost respect for British Airways. Disgusted."
positive,"  I have flown with BA for many years and there was a time about 10 years ago when they were getting better. Sadly this trip underlines how they have slipped versus other airlines. At booking time, one is scammed an extortionate amount to book a seat. At Heathrow T5 check in the queues were unbelievably long and staff at bag drop curt to say the least. The lounges here remain awful and overcrowded and BA has not invested in them for many years. On the flight the food was okay, although portions are kept minimal. This was one of those days when the crew could not give a damn and the service was mostly absent for the entire flight. Next time they change CEO, can they not do better than recruiting from aa second rate, budget Irish airline."
positive," Boarding at Mumbai was chaotic and badly organised. Once on board the crew announcements were professional, relaxed and informative in typical BA style. The seat was quite comfortable. It was a refurbished aircraft and the padding and materials are quite good. I was lucky that the middle seat was empty so I didn’t suffer from the new narrow seat which I think would have made it a lot less comfortable. The IFE is excellent, responsive and good quality. There is an enormous selection of TV and movies and a good number of games. WIFI is also very good not quite Netflix quality but still reasonable and I don’t think £17.99 for full flight is bad value. You can pay less if you just want short term simple messaging. Cabin crew were very good. Friendly and efficient. Catering was reasonable although on a near 10hr flight, the small (but tasty) pastry for the second meal service wasn’t really enough. Landing and processing at Heathrow was astonishingly quick - it felt like it was 3am, even though it was 6:30pm! No queues or waiting at all. Even the baggage was super quick at coming through. Overall a very solid experience in economy. Significantly better than it used to be."
